,carat,cut,cut_ord,color,clarity,clarity_ord,price
549,1.1,Premium,4,G,VS2,5,6893.7
550,0.32,Ideal,5,F,VS1,4,35.66
551,1.08,Very Good,3,F,SI1,3,5659.34
552,0.41,Ideal,5,G,SI2,2,-115.17
553,1,Ideal,5,G,SI1,3,5302.5
554,1,Ideal,5,E,SI1,3,5302.5
555,0.37,Ideal,5,G,IF,8,2272.31
556,0.35,Premium,4,E,SI2,2,-778.05
557,1.2,Good,2,H,SI1,3,6510.8
558,0.5,Premium,4,E,SI1,3,937.9
559,0.43,Ideal,5,G,VVS2,6,1869.09
560,0.42,Very Good,3,G,VS2,5,1014.76
561,0.59,Ideal,5,E,SI1,3,1853.17
562,1.4,Ideal,5,H,SI2,2,8213.7
563,0.66,Good,2,F,VS2,5,2875.78
564,1.02,Ideal,5,I,VS2,5,6378.76
565,0.53,Ideal,5,H,VS2,5,2256.39
566,0.51,Good,2,F,SI1,3,705.83
567,0.42,Very Good,3,D,SI2,2,-347.24
568,2.03,Ideal,5,H,SI2,2,13513.89
569,0.41,Premium,4,H,VS1,4,634.73
570,0.41,Ideal,5,F,VS1,4,792.83
571,0.3,Very Good,3,H,VS2,5,5.2
572,1.11,Ideal,5,F,VS2,5,7135.93
573,0.31,Very Good,3,J,VS2,5,89.33
574,0.7,Good,2,F,SI1,3,2304.3
575,0.4,Premium,4,E,SI1,3,96.6
576,0.33,Ideal,5,G,SI2,2,-788.21
577,0.9,Very Good,3,F,SI2,2,3691
578,0.31,Ideal,5,F,VS2,5,405.53
579,1.15,Ideal,5,D,VS2,5,7472.45
580,1.01,Ideal,5,D,VVS2,6,6748.63
581,0.42,Ideal,5,G,VS1,4,876.96
582,0.91,Ideal,5,J,VS1,4,4999.33
583,1.26,Premium,4,I,SI1,3,7331.78
584,1.28,Ideal,5,G,VS1,4,8112.14
585,1.17,Ideal,5,G,VVS2,6,8094.71
586,1.02,Premium,4,G,SI2,2,4858.66
587,0.57,Ideal,5,E,VS2,5,2592.91
588,0.91,Very Good,3,I,VS2,5,5137.13
589,1,Ideal,5,I,VS2,5,6210.5
590,0.7,Good,2,D,VS1,4,2758.3
591,1.14,Very Good,3,D,VS2,5,7072.12
592,0.9,Very Good,3,F,SI2,2,3691
593,0.3,Ideal,5,G,IF,8,1683.4
594,0.27,Ideal,5,E,VS1,4,-384.99
595,0.34,Ideal,5,I,IF,8,2019.92
596,0.33,Ideal,5,G,IF,8,1935.79
597,2,Ideal,5,G,SI2,2,13261.5
598,0.7,Premium,4,G,VS2,5,3528.5
599,0.37,Good,2,F,VS2,5,436.01
600,0.73,Ideal,5,D,VS2,5,3938.99
601,0.38,Ideal,5,E,SI1,3,86.44
602,1,Premium,4,I,VS1,4,5598.4
603,0.39,Premium,4,G,IF,8,2282.47
604,0.51,Premium,4,E,VS2,5,1930.03
605,0.7,Very Good,3,F,SI1,3,2462.4
606,1.11,Good,2,H,SI2,2,5299.63
607,0.34,Ideal,5,E,VVS1,7,1565.92
608,1.25,Ideal,5,J,SI1,3,7405.75
609,0.52,Ideal,5,J,SI1,3,1264.26
610,1,Very Good,3,H,SI2,2,4532.3
611,0.33,Ideal,5,F,VVS1,7,1481.79
612,1.8,Ideal,5,D,SI2,2,11578.9
613,0.3,Good,2,H,VS1,4,-606.9
614,0.7,Very Good,3,E,VS1,4,2916.4
615,1.08,Ideal,5,G,VS2,5,6883.54
616,0.61,Good,2,G,I1,1,639.13
617,1.1,Premium,4,G,VS2,5,6893.7
618,0.41,Premium,4,F,VS2,5,1088.73
619,0.33,Very Good,3,G,VS2,5,257.59
620,0.5,Premium,4,J,SI1,3,937.9
621,0.38,Premium,4,D,VS1,4,382.34
622,2.01,Ideal,5,H,SI2,2,13345.63
623,0.42,Ideal,5,D,SI1,3,422.96
624,1.52,Ideal,5,G,SI1,3,9677.26
625,0.53,Ideal,5,E,VS1,4,1802.39
626,0.7,Very Good,3,E,IF,8,4732.4
627,0.72,Ideal,5,G,VS2,5,3854.86
628,0.9,Very Good,3,E,SI1,3,4145
629,1.22,Ideal,5,I,SI1,3,7153.36
630,0.25,Very Good,3,F,VVS1,7,492.55
631,2.03,Ideal,5,I,VS2,5,14875.89
632,1.02,Ideal,5,G,SI2,2,5016.76
633,0.74,Ideal,5,J,VS1,4,3569.12
634,1.24,Premium,4,H,SI1,3,7163.52
635,1.15,Premium,4,G,SI2,2,5952.35
636,2.01,Premium,4,I,SI2,2,13187.53
637,0.71,Premium,4,F,IF,8,4974.63
638,0.56,Ideal,5,D,SI2,2,1146.78
639,1.01,Ideal,5,H,SI1,3,5386.63
640,0.31,Ideal,5,F,IF,8,1767.53
641,1.19,Ideal,5,D,SI2,2,6446.97
642,0.5,Ideal,5,D,VS2,5,2004
643,1.02,Premium,4,G,SI1,3,5312.66
644,0.38,Premium,4,E,SI1,3,-71.66
645,0.41,Ideal,5,F,VVS2,6,1700.83
646,1.52,Ideal,5,D,SI2,2,9223.26
647,1.22,Ideal,5,G,VS2,5,8061.36
648,0.53,Ideal,5,D,VS2,5,2256.39
649,0.4,Very Good,3,D,SI1,3,-61.5
650,0.33,Premium,4,D,SI1,3,-492.31
651,0.31,Ideal,5,H,VS1,4,-48.47
652,1.14,Premium,4,D,SI1,3,6322.22
653,1.32,Premium,4,I,SI2,2,7382.56
654,0.23,Very Good,3,F,VVS1,7,324.29
655,0.41,Very Good,3,G,VVS2,6,1384.63
656,2.24,Ideal,5,I,SI2,2,15280.62
657,0.55,Ideal,5,D,VS2,5,2424.65
658,2.32,Fair,1,H,SI1,3,15775.26
659,1.25,Ideal,5,J,VS2,5,8313.75
660,0.31,Ideal,5,F,SI1,3,-502.47
661,2.01,Fair,1,H,VS2,5,14075.23
662,0.55,Ideal,5,E,SI1,3,1516.65
663,0.7,Very Good,3,E,VVS2,6,3824.4
664,1.51,Good,2,D,VS1,4,9572.83
665,0.31,Ideal,5,F,VVS1,7,1313.53
666,0.95,Ideal,5,H,SI1,3,4881.85
667,0.24,Ideal,5,G,VS1,4,-637.38
668,0.4,Premium,4,D,SI2,2,-357.4
669,1.25,Premium,4,H,SI2,2,6793.65
670,0.24,Very Good,3,E,VVS1,7,408.42
671,0.83,Ideal,5,F,SI1,3,3872.29
672,1.01,Very Good,3,G,VS2,5,5978.43
673,0.27,Very Good,3,F,VVS1,7,660.81
674,1.1,Ideal,5,F,VS1,4,6597.8
675,0.3,Premium,4,G,VVS2,6,617.3
676,0.52,Ideal,5,E,SI1,3,1264.26
677,0.4,Ideal,5,G,IF,8,2524.7
678,1.3,Premium,4,H,SI1,3,7668.3
679,1.71,Ideal,5,G,VS1,4,11729.73
680,0.52,Ideal,5,D,VS2,5,2172.26
681,0.33,Ideal,5,H,VVS1,7,1481.79
682,1,Very Good,3,E,VVS2,6,6348.3
683,0.5,Premium,4,F,VS1,4,1391.9
684,0.91,Very Good,3,F,SI1,3,4229.13
685,1.21,Ideal,5,G,VS1,4,7523.23
686,0.51,Ideal,5,D,VS2,5,2088.13
687,0.41,Premium,4,G,VVS2,6,1542.73
688,0.94,Very Good,3,F,SI2,2,4027.52
689,0.31,Premium,4,G,SI1,3,-660.57
690,0.4,Ideal,5,D,VS2,5,1162.7
691,1.12,Ideal,5,G,SI1,3,6312.06
692,1,Good,2,E,SI1,3,4828.2
693,1.48,Premium,4,H,SI2,2,8728.64
694,0.32,Ideal,5,G,SI1,3,-418.34
695,0.76,Good,2,G,IF,8,5079.08
696,0.42,Ideal,5,D,SI1,3,422.96
697,0.5,Good,2,E,SI1,3,621.7
698,0.83,Very Good,3,J,VS2,5,4464.09
699,0.32,Very Good,3,G,VS1,4,-280.54
700,0.7,Ideal,5,H,VS1,4,3232.6
701,0.73,Ideal,5,D,VS1,4,3484.99
702,0.71,Very Good,3,D,VS1,4,3000.53
703,0.35,Premium,4,F,SI1,3,-324.05
704,0.42,Premium,4,H,SI1,3,264.86
705,0.81,Ideal,5,E,VS2,5,4612.03
706,0.32,Ideal,5,E,VS2,5,489.66
707,0.85,Premium,4,I,I1,1,2974.45
708,0.71,Good,2,F,SI1,3,2388.43
709,0.32,Very Good,3,H,VVS2,6,627.46
710,1.09,Premium,4,H,SI1,3,5901.57
711,0.35,Premium,4,D,VS2,5,583.95
712,0.82,Premium,4,G,SI2,2,3176.06
713,1.03,Premium,4,H,SI1,3,5396.79
714,0.5,Fair,1,H,VS1,4,917.6
715,0.8,Ideal,5,H,VS2,5,4527.9
716,1.12,Premium,4,J,SI2,2,5699.96
717,1.62,Premium,4,G,VS2,5,11268.46
718,1.22,Ideal,5,H,SI1,3,7153.36
719,0.52,Ideal,5,F,VVS1,7,3080.26
720,1.11,Good,2,I,VS2,5,6661.63
721,0.31,Very Good,3,F,SI1,3,-818.67
722,0.42,Ideal,5,D,VS1,4,876.96
723,0.32,Ideal,5,H,VS2,5,489.66
724,0.9,Very Good,3,F,SI1,3,4145
725,1.04,Ideal,5,H,SI1,3,5639.02
726,0.35,Ideal,5,D,VS2,5,742.05
727,0.5,Fair,1,E,VS2,5,1371.6
728,0.36,Very Good,3,D,SI1,3,-398.02
729,0.3,Premium,4,D,SI2,2,-1198.7
730,0.7,Very Good,3,E,SI1,3,2462.4
731,0.41,Very Good,3,G,VS1,4,476.63
732,0.4,Premium,4,D,VS2,5,1004.6
733,1.1,Premium,4,E,SI2,2,5531.7
734,0.74,Very Good,3,E,SI2,2,2344.92
735,0.51,Ideal,5,F,VS2,5,2088.13
736,0.27,Very Good,3,F,VVS1,7,660.81
737,1.01,Ideal,5,G,VS2,5,6294.63
738,1.37,Very Good,3,I,SI2,2,7645.11
739,1.01,Premium,4,H,SI1,3,5228.53
740,0.39,Fair,1,E,SI1,3,-461.83
741,0.51,Premium,4,E,SI1,3,1022.03
742,0.5,Premium,4,G,VVS2,6,2299.9
743,1.55,Ideal,5,G,SI2,2,9475.65
744,0.3,Ideal,5,F,IF,8,1683.4
745,2,Premium,4,D,SI2,2,13103.4
746,0.35,Premium,4,J,VS1,4,129.95
747,0.33,Ideal,5,D,VS2,5,573.79
748,1,Very Good,3,G,VS2,5,5894.3
749,0.93,Good,2,G,SI2,2,3785.29
750,0.25,Premium,4,E,VVS2,6,196.65
751,0.7,Good,2,E,SI1,3,2304.3
752,1.01,Ideal,5,F,VS2,5,6294.63
753,0.53,Premium,4,E,VVS2,6,2552.29
754,1.51,Premium,4,G,VS2,5,10343.03
755,0.23,Very Good,3,F,VS1,4,-1037.71
756,0.38,Premium,4,F,VS2,5,836.34
757,0.3,Good,2,G,VVS2,6,301.1
758,0.3,Ideal,5,G,VS1,4,-132.6
759,1.01,Good,2,I,SI1,3,4912.33
760,0.8,Premium,4,E,SI1,3,3461.8
761,0.7,Ideal,5,E,VS1,4,3232.6
762,0.7,Good,2,G,VS1,4,2758.3
763,1.26,Ideal,5,I,SI2,2,7035.88
764,1.09,Ideal,5,G,VVS2,6,7421.67
765,1,Very Good,3,I,SI2,2,4532.3
766,0.6,Ideal,5,E,VS1,4,2391.3
767,0.32,Premium,4,H,SI1,3,-576.44
768,0.41,Ideal,5,D,VVS2,6,1700.83
769,0.32,Premium,4,F,VS2,5,331.56
770,0.4,Very Good,3,E,VS1,4,392.5
771,3,Very Good,3,H,I1,1,20904.3
772,0.56,Premium,4,E,VS2,5,2350.68
773,0.9,Good,2,D,SI2,2,3532.9
774,0.36,Ideal,5,H,VVS1,7,1734.18
775,0.31,Very Good,3,E,VS2,5,89.33
776,1.19,Very Good,3,H,SI1,3,6584.77
777,0.56,Ideal,5,G,VVS1,7,3416.78
778,0.7,Premium,4,F,VS2,5,3528.5
779,0.71,Premium,4,I,VVS1,7,4520.63
780,0.52,Very Good,3,G,VVS1,7,2764.06
781,0.33,Premium,4,D,SI2,2,-946.31
782,0.34,Ideal,5,F,VS2,5,657.92
783,1.19,Very Good,3,D,VVS1,7,8400.77
784,0.4,Premium,4,D,VS1,4,550.6
785,1.07,Very Good,3,G,VS2,5,6483.21
786,1.61,Ideal,5,G,VS2,5,11342.43
787,1,Premium,4,E,VS1,4,5598.4
788,1.07,Ideal,5,G,SI1,3,5891.41
789,0.41,Ideal,5,F,VS2,5,1246.83
790,2.03,Premium,4,D,SI2,2,13355.79
791,0.58,Ideal,5,J,VS1,4,2223.04
792,0.8,Very Good,3,F,SI1,3,3303.7
793,0.32,Ideal,5,H,VS2,5,489.66
794,0.7,Ideal,5,D,SI1,3,2778.6
795,0.79,Premium,4,H,SI1,3,3377.67
796,0.93,Very Good,3,I,VS2,5,5305.39
797,0.37,Very Good,3,F,VS2,5,594.11
798,0.41,Premium,4,E,VS2,5,1088.73
799,0.31,Ideal,5,D,SI2,2,-956.47
800,0.7,Ideal,5,E,VS2,5,3686.6
801,0.53,Ideal,5,D,VS2,5,2256.39
802,0.3,Very Good,3,H,VS2,5,5.2
803,0.95,Very Good,3,E,SI2,2,4111.65
804,0.41,Premium,4,F,VVS2,6,1542.73
805,1.34,Premium,4,G,SI2,2,7550.82
806,1,Very Good,3,D,SI1,3,4986.3
807,0.42,Premium,4,D,VS1,4,718.86
808,0.41,Premium,4,E,VS1,4,634.73
809,0.5,Ideal,5,G,VVS1,7,2912
810,0.46,Premium,4,I,SI2,2,147.38
811,0.35,Ideal,5,G,IF,8,2104.05
812,0.82,Ideal,5,D,VS2,5,4696.16
813,2.48,Very Good,3,F,SI2,2,16983.54
814,0.35,Premium,4,J,VS1,4,129.95
815,1.52,Premium,4,D,SI2,2,9065.16
816,1.07,Ideal,5,F,VVS2,6,7253.41
817,0.61,Ideal,5,E,SI2,2,1567.43
818,0.39,Very Good,3,G,VVS2,6,1216.37
819,0.71,Premium,4,G,SI2,2,2250.63
820,0.51,Fair,1,F,SI1,3,547.73
821,1.67,Ideal,5,D,SI1,3,10939.21
822,1,Premium,4,G,I1,1,4236.4
823,0.3,Good,2,F,VS2,5,-152.9
824,1.22,Very Good,3,H,SI1,3,6837.16
825,0.72,Ideal,5,F,VS2,5,3854.86
826,0.94,Premium,4,E,SI1,3,4639.62
827,0.51,Ideal,5,D,SI2,2,726.13
828,1.01,Very Good,3,J,SI1,3,5070.43
829,0.41,Premium,4,F,SI2,2,-273.27
830,0.3,Very Good,3,E,SI1,3,-902.8
831,1.11,Premium,4,I,SI2,2,5615.83
832,0.5,Ideal,5,E,SI1,3,1096
833,1.2,Good,2,J,VS2,5,7418.8
834,0.56,Ideal,5,H,SI1,3,1600.78
835,0.9,Premium,4,D,SI1,3,4303.1
836,1,Fair,1,I,VS1,4,5124.1
837,0.35,Ideal,5,I,VS1,4,288.05
838,0.31,Ideal,5,D,VS2,5,405.53
839,0.71,Very Good,3,E,VS2,5,3454.53
840,0.3,Premium,4,G,VVS2,6,617.3
841,0.3,Ideal,5,E,VS1,4,-132.6
842,1,Very Good,3,E,IF,8,7256.3
843,0.3,Premium,4,G,VVS2,6,617.3
844,1.48,Ideal,5,E,SI2,2,8886.74
845,1.5,Ideal,5,I,SI1,3,9509
846,2.35,Premium,4,I,SI2,2,16047.95
847,0.5,Good,2,D,SI1,3,621.7
848,0.38,Ideal,5,E,SI2,2,-367.56
849,1.06,Ideal,5,G,VS1,4,6261.28
850,0.33,Ideal,5,G,VS2,5,573.79
851,0.7,Fair,1,F,I1,1,1238.2
852,0.3,Ideal,5,D,VS2,5,321.4
853,1.5,Good,2,I,SI2,2,8580.7
854,0.34,Very Good,3,G,VVS1,7,1249.72
855,0.59,Premium,4,D,VS1,4,2149.07
856,0.81,Premium,4,G,SI1,3,3545.93
857,0.55,Ideal,5,G,VVS2,6,2878.65
858,0.31,Ideal,5,E,VS1,4,-48.47
859,0.91,Good,2,G,VS2,5,4979.03
860,0.4,Premium,4,H,SI1,3,96.6
861,0.81,Ideal,5,E,VS2,5,4612.03
862,0.31,Ideal,5,F,IF,8,1767.53
863,1.1,Premium,4,H,SI1,3,5985.7
864,0.31,Very Good,3,H,VVS2,6,543.33
865,0.45,Ideal,5,G,VVS1,7,2491.35
866,0.32,Ideal,5,D,VS2,5,489.66
867,0.32,Ideal,5,G,IF,8,1851.66
868,0.31,Premium,4,J,SI1,3,-660.57
869,1,Very Good,3,F,SI2,2,4532.3
870,2.02,Premium,4,I,SI2,2,13271.66
871,2.01,Premium,4,H,SI2,2,13187.53
872,1.02,Very Good,3,F,SI1,3,5154.56
873,1.16,Ideal,5,H,SI2,2,6194.58
874,0.77,Very Good,3,H,SI1,3,3051.31
875,0.59,Premium,4,I,IF,8,3965.07
876,0.34,Premium,4,D,SI2,2,-862.18
877,0.3,Good,2,I,IF,8,1209.1
878,0.58,Ideal,5,I,SI1,3,1769.04
879,0.52,Very Good,3,H,VS1,4,1402.06
880,0.33,Premium,4,G,VVS1,7,1323.69
881,1.38,Ideal,5,F,SI2,2,8045.44
882,0.71,Ideal,5,F,SI2,2,2408.73
883,0.96,Fair,1,F,SI2,2,3879.58
884,1.02,Ideal,5,E,VVS1,7,7286.76
885,0.53,Good,2,E,VS2,5,1782.09
886,0.9,Premium,4,D,SI2,2,3849.1
887,0.34,Fair,1,F,I1,1,-1790.48
888,0.36,Very Good,3,H,VS2,5,509.98
889,0.83,Very Good,3,F,VS1,4,4010.09
890,1.3,Premium,4,I,IF,8,9938.3
891,1.02,Ideal,5,E,SI1,3,5470.76
892,0.34,Ideal,5,E,VVS2,6,1111.92
893,0.54,Good,2,G,VS1,4,1412.22
894,0.56,Premium,4,G,VS1,4,1896.68
895,2.37,Ideal,5,J,VS2,5,17736.31
896,1.15,Ideal,5,H,SI2,2,6110.45
897,0.4,Ideal,5,H,VS1,4,708.7
898,1.59,Ideal,5,G,VVS2,6,11628.17
899,1.42,Very Good,3,G,VVS2,6,9881.76
900,0.31,Ideal,5,E,VVS2,6,859.53
901,0.57,Ideal,5,F,IF,8,3954.91
902,0.7,Premium,4,I,VS2,5,3528.5
903,0.41,Very Good,3,H,SI1,3,22.63
904,0.55,Very Good,3,E,SI1,3,1200.45
905,1.01,Ideal,5,D,VS2,5,6294.63
906,0.24,Very Good,3,E,VVS2,6,-45.58
907,0.3,Very Good,3,E,SI1,3,-902.8
908,1.13,Ideal,5,F,SI1,3,6396.19
909,0.72,Premium,4,H,SI1,3,2788.76
910,0.52,Ideal,5,D,SI2,2,810.26
911,1,Very Good,3,D,SI1,3,4986.3
912,0.47,Very Good,3,D,VS1,4,981.41
913,0.41,Ideal,5,D,SI2,2,-115.17
914,0.51,Premium,4,G,SI1,3,1022.03
915,1,Very Good,3,F,SI1,3,4986.3
916,1.55,Good,2,H,VS2,5,10363.35
917,0.71,Very Good,3,G,VS2,5,3454.53
918,1.21,Ideal,5,G,VS2,5,7977.23
919,1.95,Very Good,3,H,VS2,5,13886.65
920,1.51,Premium,4,G,SI1,3,9435.03
921,0.3,Premium,4,D,VS2,5,163.3
922,0.72,Very Good,3,D,VS2,5,3538.66
923,0.31,Ideal,5,E,VVS2,6,859.53
924,0.53,Ideal,5,D,VS2,5,2256.39
925,0.71,Very Good,3,G,SI2,2,2092.53
926,1.07,Ideal,5,G,SI1,3,5891.41
927,0.24,Very Good,3,E,VS1,4,-953.58
928,1,Very Good,3,F,IF,8,7256.3
929,0.55,Ideal,5,G,VS1,4,1970.65
930,0.52,Ideal,5,E,VS2,5,2172.26
931,0.72,Ideal,5,G,SI2,2,2492.86
932,0.9,Good,2,G,SI1,3,3986.9
933,0.41,Ideal,5,F,VS2,5,1246.83
934,0.33,Ideal,5,G,SI1,3,-334.21
935,0.56,Very Good,3,H,VS1,4,1738.58
936,1.01,Very Good,3,F,SI2,2,4616.43
937,0.46,Premium,4,F,VVS1,7,2417.38
938,1.01,Very Good,3,I,SI1,3,5070.43
939,0.3,Ideal,5,F,VS2,5,321.4
940,0.3,Premium,4,G,VS1,4,-290.7
941,2.02,Very Good,3,H,SI2,2,13113.56
942,0.32,Ideal,5,E,VVS2,6,943.66
943,0.35,Premium,4,I,VS1,4,129.95
944,0.34,Ideal,5,D,SI1,3,-250.08
945,0.6,Ideal,5,G,VS1,4,2391.3
946,0.41,Premium,4,I,VVS2,6,1542.73
947,1.01,Fair,1,G,VS1,4,5208.23
948,0.54,Ideal,5,H,VVS1,7,3248.52
949,1.01,Premium,4,E,SI2,2,4774.53
950,0.3,Ideal,5,H,VVS1,7,1229.4
951,1.06,Premium,4,F,I1,1,4741.18
952,0.7,Very Good,3,F,VS2,5,3370.4
953,1.53,Very Good,3,F,SI1,3,9445.19
954,0.82,Very Good,3,D,SI1,3,3471.96
955,0.32,Ideal,5,G,VVS1,7,1397.66
956,0.27,Very Good,3,F,VS1,4,-701.19
957,0.8,Ideal,5,F,VS2,5,4527.9
958,1.11,Ideal,5,G,VS1,4,6681.93
959,0.71,Premium,4,G,VS2,5,3612.63
960,0.61,Very Good,3,F,SI2,2,1251.23
961,1.31,Very Good,3,F,VS1,4,8048.33
962,0.71,Very Good,3,G,SI1,3,2546.53
963,0.9,Premium,4,E,SI2,2,3849.1
964,0.9,Premium,4,E,VS2,5,5211.1
965,0.74,Ideal,5,E,VS2,5,4023.12
966,0.3,Good,2,I,VS1,4,-606.9
967,1,Very Good,3,F,VS1,4,5440.3
968,0.3,Ideal,5,E,VS2,5,321.4
969,0.39,Good,2,E,VVS2,6,1058.27
970,0.51,Premium,4,F,SI1,3,1022.03
971,0.81,Ideal,5,E,SI2,2,3250.03
972,1.62,Ideal,5,I,VS2,5,11426.56
973,1.62,Premium,4,F,SI2,2,9906.46
974,0.57,Very Good,3,E,VS2,5,2276.71
975,0.33,Ideal,5,G,VVS1,7,1481.79
976,0.42,Ideal,5,E,VS2,5,1330.96
977,1.51,Premium,4,J,VS2,5,10343.03
978,0.31,Ideal,5,D,VS2,5,405.53
979,1.01,Very Good,3,G,SI1,3,5070.43
980,0.41,Good,2,E,VVS1,7,1680.53
981,0.7,Premium,4,F,SI1,3,2620.5
982,0.9,Good,2,H,SI2,2,3532.9
983,1.75,Good,2,D,SI1,3,11137.95
984,0.36,Ideal,5,F,SI1,3,-81.82
985,0.31,Ideal,5,F,IF,8,1767.53
986,0.8,Very Good,3,D,SI1,3,3303.7
987,0.32,Good,2,E,VS1,4,-438.64
988,1.01,Good,2,F,VS2,5,5820.33
989,0.72,Premium,4,I,SI1,3,2788.76
990,0.71,Very Good,3,G,VS2,5,3454.53
991,1.09,Ideal,5,E,SI2,2,5605.67
992,0.63,Very Good,3,G,VS1,4,2327.49
993,0.51,Ideal,5,D,VS1,4,1634.13
994,1.01,Very Good,3,G,VS2,5,5978.43
995,1.59,Premium,4,H,SI2,2,9654.07
996,0.54,Premium,4,F,VS1,4,1728.42
997,0.28,Very Good,3,G,VVS2,6,290.94
998,0.54,Very Good,3,G,VVS1,7,2932.32
999,1.52,Ideal,5,H,SI1,3,9677.26
1000,1.13,Ideal,5,I,VS2,5,7304.19
1001,1.07,Ideal,5,G,VS2,5,6799.41
1002,0.31,Ideal,5,H,VS2,5,405.53
1003,0.7,Ideal,5,G,VS2,5,3686.6
1004,0.33,Ideal,5,H,VVS1,7,1481.79
1005,1.65,Fair,1,J,SI1,3,10138.55
1006,0.54,Ideal,5,G,VVS2,6,2794.52
1007,0.71,Very Good,3,F,VS2,5,3454.53
1008,0.7,Very Good,3,G,VS2,5,3370.4
1009,2.05,Premium,4,H,VS2,5,14886.05
1010,1,Good,2,G,SI1,3,4828.2
1011,1.65,Ideal,5,G,VS2,5,11678.95
1012,0.37,Good,2,H,VS2,5,436.01
1013,1.15,Premium,4,E,SI2,2,5952.35
1014,0.57,Ideal,5,H,VS2,5,2592.91
1015,0.72,Very Good,3,J,SI1,3,2630.66
1016,0.71,Ideal,5,D,SI1,3,2862.73
1017,0.7,Very Good,3,F,SI1,3,2462.4
1018,1.38,Very Good,3,F,VS1,4,8637.24
1019,0.73,Ideal,5,E,VVS2,6,4392.99
1020,0.39,Very Good,3,E,VVS2,6,1216.37
1021,2.14,Premium,4,D,SI2,2,14281.22
1022,1.12,Very Good,3,E,VS2,5,6903.86
1023,0.36,Very Good,3,D,SI1,3,-398.02
1024,0.42,Very Good,3,D,VS1,4,560.76
1025,0.5,Ideal,5,I,SI1,3,1096
1026,2,Premium,4,J,VS2,5,14465.4
1027,0.3,Premium,4,F,VS2,5,163.3
1028,1.35,Premium,4,H,VS1,4,8542.95
1029,1.57,Premium,4,G,SI1,3,9939.81
1030,0.31,Premium,4,G,VS2,5,247.43
1031,0.33,Premium,4,E,VS2,5,415.69
1032,1.02,Premium,4,H,SI1,3,5312.66
1033,1.01,Premium,4,G,VS2,5,6136.53
1034,0.83,Ideal,5,H,SI2,2,3418.29
1035,0.43,Very Good,3,G,SI1,3,190.89
1036,1.2,Premium,4,H,SI2,2,6373
1037,1.01,Ideal,5,E,VS2,5,6294.63
1038,1.23,Ideal,5,I,SI2,2,6783.49
1039,0.53,Ideal,5,I,SI1,3,1348.39
1040,1,Ideal,5,H,SI2,2,4848.5
1041,0.4,Very Good,3,E,IF,8,2208.5
1042,0.71,Premium,4,J,VVS2,6,4066.63
1043,1.33,Very Good,3,H,SI2,2,7308.59
1044,0.43,Very Good,3,G,SI2,2,-263.11
1045,0.31,Very Good,3,G,VS1,4,-364.67
1046,1.21,Ideal,5,J,SI1,3,7069.23
1047,1.55,Premium,4,I,VS2,5,10679.55
1048,0.8,Ideal,5,F,VS2,5,4527.9
1049,0.71,Good,2,I,SI1,3,2388.43
1050,0.46,Fair,1,G,VS2,5,1035.08
1051,0.3,Ideal,5,I,SI1,3,-586.6
1052,1.21,Good,2,J,VVS2,6,7956.93
1053,2.14,Ideal,5,I,SI2,2,14439.32
1054,0.7,Good,2,I,SI2,2,1850.3
1055,1.03,Ideal,5,H,SI1,3,5554.89
1056,1.06,Very Good,3,E,SI1,3,5491.08
1057,1.41,Ideal,5,J,VS1,4,9205.83
1058,0.3,Premium,4,H,VS1,4,-290.7
1059,0.79,Very Good,3,I,SI1,3,3219.57
1060,0.37,Good,2,H,SI1,3,-471.99
1061,0.62,Premium,4,G,SI1,3,1947.46
1062,0.7,Very Good,3,I,VS2,5,3370.4
1063,0.39,Very Good,3,E,VVS2,6,1216.37
1064,1.12,Premium,4,G,VVS2,6,7515.96
1065,1.14,Very Good,3,E,IF,8,8434.12
1066,0.9,Ideal,5,H,VS1,4,4915.2
1067,0.5,Very Good,3,D,SI2,2,325.8
1068,0.75,Ideal,5,D,SI2,2,2745.25
1069,0.38,Ideal,5,F,VVS2,6,1448.44
1070,1.07,Good,2,J,VS2,5,6325.11
1071,0.34,Very Good,3,D,SI2,2,-1020.28
1072,1.25,Ideal,5,E,SI2,2,6951.75
1073,0.9,Fair,1,F,SI1,3,3828.8
1074,2.74,Very Good,3,J,SI2,2,19170.92
1075,0.71,Very Good,3,E,VS2,5,3454.53
1076,0.33,Ideal,5,G,VS1,4,119.79
1077,0.91,Very Good,3,H,VS2,5,5137.13
1078,0.33,Very Good,3,G,VVS2,6,711.59
1079,0.4,Very Good,3,E,SI1,3,-61.5
1080,1.11,Premium,4,F,SI1,3,6069.83
1081,0.24,Good,2,F,VVS1,7,250.32
1082,1.01,Very Good,3,G,SI1,3,5070.43
1083,0.31,Very Good,3,H,VS1,4,-364.67
1084,0.34,Very Good,3,F,VVS2,6,795.72
1085,0.64,Ideal,5,E,VS1,4,2727.82
1086,1.01,Very Good,3,F,SI2,2,4616.43
1087,0.7,Very Good,3,F,SI1,3,2462.4
1088,1.11,Very Good,3,J,SI1,3,5911.73
1089,0.7,Very Good,3,E,VS1,4,2916.4
1090,0.43,Ideal,5,G,VS1,4,961.09
1091,0.91,Ideal,5,G,VS1,4,4999.33
1092,0.94,Very Good,3,D,SI2,2,4027.52
1093,0.3,Premium,4,G,IF,8,1525.3
1094,0.31,Ideal,5,D,VS2,5,405.53
1095,1.51,Very Good,3,G,VS2,5,10184.93
